step,disp,axial_strain,vol_strain,void_ratio,packing,sigma_yy,p_mean,escaped
96,0.02112,0.05718956193999317,0.055336078743728624,0.38839772032435693,0.7202547118605037,1587029.875,1558067.8125,0
97,0.02134,0.05778528654353477,0.05490062211548307,0.3890377225265711,0.7199228529093247,1534283.375,1501483.8125,0
98,0.02156,0.05838101114707636,0.054453706102283894,0.38969456689200105,0.7195825786643621,1554623.625,1498822.875,0
99,0.02178,0.05897673575061796,0.05638194937050044,0.38686057641392463,0.721053014994305,1576501.875,1606394.5625,0
100,0.022000000000000002,0.059572460354159563,0.056203441204881695,0.3871229346183903,0.7209166361848878,1571945.375,1604600.8125,0
101,0.02222,0.060168184957701154,0.05644973728149496,0.3867609467160261,0.7211048179342585,1558949.125,1540879.5,0
102,0.02244,0.06076390956124275,0.056965732403993316,0.3860025749441663,0.7214993810818021,1582075.25,1598236.5,0
103,0.02266,0.06135963416478434,0.05592341257255926,0.38753450015613733,0.7207028004618778,1606881.375,1609384.8125,0
104,0.02288,0.06195535876832594,0.05927374937356704,0.3826104209442923,0.7232695377176618,1603714.75,1579202.25,0
105,0.023100000000000002,0.06255108337186754,0.059187561886731195,0.38273709298876313,0.7232032792571701,1592458.375,1572343.25,0
106,0.02332,0.06314680797540913,0.05980749847275445,0.3818259556801257,0.7236801392312873,1413895.0,1432171.6875,0
107,0.023540000000000002,0.06374253257895073,0.061670374826797804,0.3790880366964512,0.7251168695476896,1409120.375,1454520.125,0
108,0.02376,0.06433825718249232,0.06141487896226388,0.37946354577210156,0.7249194826966512,1387790.5,1397951.5625,0
109,0.02398,0.06493398178603392,0.06185049699029739,0.37882330635632117,0.7252560900225862,1358794.5,1386388.5,0
110,0.0242,0.0655297063895755,0.06335490441501052,0.37661223870367594,0.7264209716322709,1391260.5,1383965.5,0
111,0.02442,0.0661254309931171,0.06313088150915251,0.37694149113387365,0.7262472708092538,1284502.75,1347649.25,0
112,0.024640000000000002,0.06672115559665871,0.06367818819053883,0.37613709993012734,0.7266717829573627,1442163.25,1428570.9375,0
113,0.02486,0.0673168802002003,0.06592180664466782,0.3728395941432568,0.7284172195106788,1515147.0,1433731.5625,0
114,0.02508,0.0679126048037419,0.06357456952659013,0.376289391039772,0.7265913742490674,1482753.125,1476749.5625,0
115,0.0253,0.06850832940728349,0.06719444397369502,0.3709691651719976,0.7294110074857468,1398400.75,1396365.75,0
116,0.02552,0.06910405401082509,0.06574555807608218,0.37309863135779264,0.7282798024575605,1518132.125,1491892.125,0
117,0.025740000000000002,0.06969977861436669,0.06638228024006602,0.3721628238382469,0.7287764852882225,1341881.625,1340039.6875,0
118,0.02596,0.07029550321790827,0.06692474492780981,0.37136554904149344,0.7292001762031598,1481187.5,1493531.9375,0
119,0.026180000000000002,0.07089122782144988,0.06669523442915713,0.3717028667329494,0.7290208573973079,1505505.875,1490238.25,0
120,0.0264,0.07148695242499147,0.06885379519496683,0.3685303724955848,0.730710856037816,1522402.375,1491170.125,0
121,0.02662,0.07208267702853306,0.0689967954072076,0.3683202012757324,0.7308230917497712,1598946.625,1607028.375,0
122,0.02684,0.07267840163207466,0.0691849875601113,0.3680436102572811,0.730970849541803,1583438.0,1543305.0,0
123,0.02706,0.07327412623561626,0.0702507103608173,0.3664772890781784,0.7318087230521022,1518592.375,1546836.0625,0
124,0.027280000000000002,0.07386985083915786,0.07077832626805752,0.36570183792953603,0.7322242470699489,1641411.0,1626911.75,0
125,0.0275,0.07446557544269944,0.07137566688374931,0.364823910520198,0.7326952526929671,1608958.25,1665844.125,0
126,0.02772,0.07506130004624105,0.07149155193159226,0.364653591179505,0.7327866987369845,1696796.875,1704481.375,0
127,0.02794,0.07565702464978263,0.07204079541043562,0.3638463534129615,0.733220422885281,1684063.5,1704205.4375,0
128,0.02816,0.07625274925332423,0.07166376550547585,0.3644004843041298,0.7329226363548376,1777224.5,1805946.5,0
129,0.028380000000000002,0.07684847385686583,0.07329584016256188,0.3620017807204426,0.7342134306689683,1956242.25,1944846.1875,0
130,0.0286,0.07744419846040743,0.07293317483874136,0.36253479960419915,0.7339262089236096,1781850.875,1814855.5625,0
131,0.028820000000000002,0.07803992306394902,0.07497794875395325,0.3595295409311639,0.735548562861741,1855916.5,1881289.5,0
132,0.02904,0.07863564766749061,0.0740908955186542,0.36083326669223426,0.7348438816686863,1863975.375,1889811.0625,0
133,0.02926,0.0792313722710322,0.0759900868250159,0.35804197465611437,0.7363542649358991,1907848.375,1851112.125,0
134,0.029480000000000003,0.07982709687457382,0.07693718078148155,0.35665000544833386,0.7371097895433456,1900028.125,1911870.625,0
135,0.0297,0.0804228214781154,0.07685567388850016,0.3567697982993783,0.7370447081394605,1761226.0,1757013.75,0
136,0.029920000000000002,0.081018546081657,0.07870660665822546,0.35404943311961923,0.7385254744327034,1862585.625,1856970.75,0
137,0.03014,0.0816142706851986,0.07799919138706171,0.3550891401812589,0.7379588326316587,1786957.875,1793525.0625,0
138,0.03036,0.08220999528874019,0.07865818672180083,0.35412059718954664,0.7384866621743161,1896958.0,1878771.8125,0
139,0.03058,0.08280571989228178,0.07863720474935008,0.35415143495318196,0.7384698447958841,1879924.875,1866103.0625,0
